   ID | 스테이지 이름              | 맵 크… | 공 개… | Par M… | 특징 및 공략 포인트
  ----|----------------------------|--------|--------|--------|----------------------------------------------------
   01 | The Classic Cross          |  9x9   |  4개   |   11   | push.png 오리지널 십자 맵! 사방의 집으로 공을
      |                            |        |        |        | 1칸씩 밀어 넣는 튜토리얼
   02 | Anycall PushPush II        |  11x9  |  3개   |   43   | pushpush.png 애니콜 2탄 스테이지 2! 우측 3채의 집
      |                            |        |        |        | 중 맨 위쪽부터 채우는 구조
   03 | First Push (첫 걸음)       |  6x6   |  1개   |   3    | 공 뒤편으로 돌아가서 집 방향으로 밀어 넣는 기초
      |                            |        |        |        | 연습
   04 | L-Corridor (기역자 통로)   |  6x6   |  2개   |   16   | 모퉁이 벽에 끼이지 않도록 공간을 활용하는 퍼즐
   05 | Pocket Two (포켓 투)       |  6x6   |  2개   |   16   | 좁은 2칸 포켓에 공 2개를 순서대로 넣는 구조
   06 | Triple Goal (삼각 배치)    |  8x7   |  3개   |   19   | 가로 3칸의 집에 안쪽부터 공을 차례로 채워 넣기
   07 | Corner Pocket (코너 포켓)  |  8x6   |  2개   |   56   | 좁은 통로 사이로 공의 위치를 교차시키는 테크닉
   08 | Twin Vaults (쌍둥이 금고)  |  9x7   |  2개   |   57   | 좌우 독립된 금고실로 공을 배달하는 퍼즐
   09 | Central Plaza (중앙 광장)  |  7x7   |  2개   |   16   | 외곽 복도를 돌아 공을 중앙 집으로 밀어 넣기
   10 | The Switchback (지그재그)  |  8x7   |  2개   |   52   | 지그재그 장애물을 우회하며 공의 방향을 정밀하게
      |                            |        |        |        | 전환
   11 | Three in a Row (삼총사)    |  7x7   |  3개   |   15   | 3개의 공을 가로 라인에 정렬 (양 끝 집부터 공략)
   12 | Cross Alley (골목 교차로)  |  8x7   |  2개   |   12   | 교차로 장애물을 활용해 동서/남북 통로 확보
   13 | Dual Chambers (두 개의 방) |  9x7   |  2개   |   41   | 벽으로 나뉜 두 방의 입구를 막지 않도록 조율
   14 | Diamond Ring (다이아몬드)  |  7x7   |  3개   |   21   | 다이아몬드 형태로 배치된 공들의 이동 우선순위 설정
   15 | The Courtyard (중정 창고)  |  8x7   |  2개   |   11   | 중앙 기둥을 회전하며 모서리에 끼이지 않게 공략
   16 | The Anchor (닻 모양 창고)  |  8x6   |  2개   |   56   | 닻 모양으로 꺾인 좁은 통로를 통과하는 고급 퍼즐
   17 | The Fork (삼지창 창고)     |  8x7   |  3개   |   20   | 3개의 갈림길에서 공 순서를 정밀 계산
   18 | Symmetry Two (대칭 퍼즐)   |  8x6   |  2개   |   13   | 대칭 배치된 공들의 동선을 꼬이지 않게 분리
   19 | The Quadrant (4분면)       |  9x8   |  2개   |   53   | 4개의 구역으로 분할된 복합 챔버 퍼즐
   20 | PushPush Grandmaster       |  8x7   |  3개   |   20   | 단 1번의 실수도 허용되지 않는 최종 마스터 챌린지
  ──────

  #### 🔹 Phase 4: Expert (중상급 전문가 코스 / Stage 21 ~ 30)
   ID | 스테이지 이름               | 맵 크… | 공/목… | Par M… | 퍼즐 특징
  ----|-----------------------------|---------|---------|--------|-------------------------------------------------
   21 | Box Rotation (상자 회전)    |   8x7   |   2개   |   19   | 중앙 벽을 축 삼아 공 2개를 시계 방향으로 선회
   22 | Pinball Run (핀볼 런)       |   8x7   |   2개   |   11   | 지그재그 장애물을 통과하여 하단 2개의 집으로
      |                             |         |         |        | 골인
   23 | Corridor Shuffle (복도      |   8x7   |   2개   |   16   | 일자 복도에서 대피소 공간을 활용해 공 순서 변경
      | 셔플)                       |         |         |        |
   24 | Tetris T-Spin (T자 창고)    |   8x7   |   2개   |   28   | T자 형태의 좁은 분기 구역을 정밀하게 통과
   25 | Double Lock (이중 잠금)     |   8x7   |   2개   |   14   | 서로의 진로를 가로막는 공 2개의 락 해제
   26 | The Spiral (나선 미로)      |   8x8   |   2개   |   13   | 나선형 벽을 따라 돌며 코너에 끼이지 않게 공략
   27 | Four Corners (동서남북)     |   9x9   |   4개   |   11   | 중앙에서 4방향으로 뻗어나가는 대형 십자 맵
   28 | Pillar Maze (기둥 미로)     |   9x7   |   2개   |   23   | 4개의 독립된 기둥 사이 중앙 통로를 지키며 이동
   29 | Temple Gate (신전의 문)     |   9x7   |   3개   |   37   | 신전 관문을 통과해 3채의 성소로 공 배달
   30 | Infinity Loop (무한 루프)   |   9x7   |   2개   |   23   | 8자 모양의 무한 순환 통로와 교차로 활용

  #### 🔸 Phase 5: Master (최상급 마스터 코스 / Stage 31 ~ 40)
   ID | 스테이지 이름               | 맵 크기 | 공/목표 | Par M… | 퍼즐 특징
  ----|-----------------------------|---------|---------|--------|-------------------------------------------------
   31 | Retro Classic 3 (애니콜    |  9x7   |  3개   |   60   | 애니콜 원작의 정밀 3구 배치 클래식 퍼즐
      | 3호기)                     |        |        |        |
   32 | The Crane (기중기 창고)    |  8x7   |  2개   |   17   | 기중기 팔처럼 꺾인 좁은 구역에서 공을 섬세하게
      |                            |        |        |        | 조작
   33 | Castle Moat (성채 해자)    |  9x7   |   3개   |   83   | 해자로 둘러싸인 안쪽 성채로 3개의 공을 순차 진입
   34 | Hourglass (모래시계)       |  7x7   |   2개   |   13   | 상단 챔버에서 좁은 목을 통과시켜 하단으로 이동
   35 | Warehouse Prime (프라임    |  9x7   |   3개   |   33   | 3개의 화물을 지정 독(Dock)의 깊은 곳부터 채우기
      | 창고)                      |        |         |        |
   36 | Galaxy Core (은하 코어)      |  8x8   |  2개   |  29   | 중앙 2x2 블록을 중심으로 은하 궤도 비행
   37 | Labyrinth of Neon (네온      |  8x7   |  2개   |  29   | 복합 갈림길에서 한 수 앞을 내다보고 미는 미궁
      | 미궁)                        |        |        |       |
   38 | Tri-Force (트라이포스)       |  9x8   |  3개   |  45   | 삼각형 배치로 놓인 3개의 공과 3개의 신성한 집
   39 | The Matrix (매트릭스 그리드) |  9x7   |  2개   |  23   | 격자형 공간에서 유기적으로 연쇄 이동
   40 | Ultimate Soul (궁극의        |  9x8   |  4개   |  37   | 4개의 공을 모두 집어넣는 대망의 최종 챔피언십 맵
      | 소코반)                      |        |        |       |
  ──────
